Year;Rank;City;Country
2022;1;London;United Kingdom
2022;2;Tokyo;Japan
2022;3;Shanghai;China
2022;4;Singapore;Republic of Singapore
2022;5;Melbourne;Australia
2022;6;Sydney;Australia
2022;7;Paris;France
2022;8;Beijing;China
2022;9;New York;United States
2022;10;Amsterdam;Netherlands
2022;11;Hong Kong;China
2022;12;Dubai;UAE
2022;13;Seoul;South Korea
2022;14;Copenhagen;Denmark
2022;15;Toronto;Canada
2022;16;Berlin;Germany
2022;17;Helsinki;Finland
2022;18;Stockholm;Sweden
2022;19;Zurich;Switzerland
2022;20;Vienna;Austria
2022;21;Madrid;Spain
2022;22;Bangkok;Thailand
2022;23;Vancouver;Canada
2022;24;Kuala Lumpur;Malaysia
2022;25;Frankfurt;Germany
2022;26;Taipei;Taiwan
2022;27;Dublin;Ireland
2022;28;Istanbul;Turkey
2022;29;Geneva;Switzerland
2022;30;Barcelona;Spain
2022;31;Osaka;Japan
2022;32;Tel Aviv;Israel
2022;33;Fukuoka;Japan
2022;34;Brussels;Belgium
2022;35;Los Angeles;United States
2022;36;Cairo;Egypt
2022;37;San Francisco;United States
2022;38;Milan;Italy
2022;39;Jakarta;Indonesia
2022;40;Moscow;Russia
2022;41;Chicago;United States
2022;42;Chicago;United States
2022;43;Washington, D.C.;United States
2022;44;Buenos Aires;Argentina
2022;45;Mumbai;India
2022;46;Sao Paulo;Brazil
2022;47;Mexico City;Mexico
2022;48;Johannesburg;South Africa
2020;1;Tokyo;Japan
2020;2;London;United Kingdom
2020;3;Singapore;Republic of Singapore
2020;4;New York;United States of America
2020;5;Melbourne;Australia
2020;6;Frankfurt;Germany
2020;7;Paris;France
2020;8;Seoul;South Korea
2020;9;Berlin;Germany
2020;10;Sydney;Australia
2020;11;Hong Kong;China
2020;12;Copenhagen;Denmark
2020;13;Vienna;Austria
2020;14;Amsterdam;Netherlands
2020;15;Helsinki;Finland
2020;16;Zurich;Switzerland
2020;17;Dubai;UAE
2020;18;Osaka;Japan
2020;19;Toronto;Canada
2020;20;Geneva;Switzerland
2020;21;Shanghai;China
2020;22;Beijing;China
2020;23;Kuala Lumpur;Malaysia
2020;24;Vancouver;Canada
2020;25;Moscow;Russia
2020;26;Taipei;China
2020;27;Dublin;Ireland
2020;28;Tel Aviv;Israel
2020;29;Stockholm;Sweden
2020;30;Istanbul;Turkey
2020;31;San Francisco;United States of America
2020;32;Bangkok;Thailand
2020;33;Los Angeles;United States of America
2020;34;Fukuoka;Japan
2020;35;Madrid;Spain
2020;36;Boston;United States of America
2020;37;Chicago;United States of America
2020;38;Barcelona;Spain
2020;39;Washington, D.C.;United States of America
2020;40;Milan;Italy
2020;41;Buenos Aires;Argentina
2020;42;Jakarta;Indonesia
2020;43;Brussels;Belgium
2020;44;Cairo;Egypt
2020;45;Mumbai;India
2020;46;Sao Paulo;Brazil
2020;47;Mexico City;Mexico
2020;48;Johannesburg;South Africa
