position;title;author
1;In Search of Lost Time ;Marcel Proust
2;Ulysses;James Joyce
3;Don Quixote;Miguel de Cervantes
4;One Hundred Years of Solitude ;Gabriel Garcia Marquez
5;The Great Gatsby ;F. Scott Fitzgerald
6;Moby Dick;Herman Melville
7;War and Peace;Leo Tolstoy
8;Hamlet;William Shakespeare
9;The Odyssey;Homer
10;Madame Bovary;Gustave Flaubert
11;The Divine Comedy ;Dante Alighieri
12;Lolita ;Vladimir Nabokov
13;The Brothers Karamazov ;Fyodor Dostoyevsky
14;Crime and Punishment ;Fyodor Dostoyevsky
15;Wuthering Heights;Emily Brontë
16;The Catcher in the Rye;J. D. Salinger
17;Pride and Prejudice;Jane Austen
18;The Adventures of Huckleberry Finn;Mark Twain
19;Anna Karenina;Leo Tolstoy
20;Alice's Adventures in Wonderland ;Lewis Carroll
21;The Iliad;Homer
22;To the Lighthouse ;Virginia Woolf
23;Catch-22 ;Joseph Heller
24;Heart of Darkness;Joseph Conrad
25;The Sound and the Fury;William Faulkner
26;Nineteen Eighty Four;George Orwell
27;Great Expectations;Charles Dickens
28;One Thousand and One Nights;India/Iran/Iraq/Egypt
29;The Grapes of Wrath ;John Steinbeck
30;Absalom, Absalom!;William Faulkner
31;Invisible Man ;Ralph Ellison
32;To Kill a Mockingbird ;Harper Lee
33;The Trial;Franz Kafka
34;The Red and the Black;Stendhal
35;Middlemarch;George Eliot
36;Gulliver's Travels;Jonathan Swift
37;Beloved;Toni Morrison
38;Mrs. Dalloway ;Virginia Woolf
39;The Stories of Anton Chekhov;Anton Chekhov
40;The Stranger ;Albert Camus
41;Jane Eyre;Charlotte Bronte
42;The Aeneid;Virgil
43;Collected Fiction;Jorge Luis Borges
44;The Sun Also Rises ;Ernest Hemingway
45;David Copperfield;Charles Dickens
46;Tristram Shandy;Laurence Sterne
47;Leaves of Grass;Walt Whitman
48;The Magic Mountain;Thomas Mann
49;A Portrait of the Artist as a Young Man ;James Joyce
50;Midnight's Children ;Salman Rushdie
51;Oedipus the King;Sophocles
52;Candide;Voltaire
53;The Lord of the Rings;J. R. R. Tolkien
54;The Idiot;Fyodor Dostoyevsky
55;Les Misérables;Victor Hugo
56;A Passage to India ;E. M. Forster
57;The Old Man and the Sea;Ernest Hemingway
58;Things Fall Apart ;Chinua Achebe
59;Emma;Jane Austen
60;For Whom the Bell Tolls;Ernest Hemingway
61;The Complete Stories of Franz Kafka;Franz Kafka
62;The Metamorphosis;Franz Kafka
63;The Portrait of a Lady ;Henry James
64;Frankenstein ;Mary Shelley
65;Pale Fire ;Vladimir Nabokov
66;Antigone;Sophocles
67;As I Lay Dying;William Faulkner
68;The Color Purple;Alice Walker
69;The Possessed;Fyodor Dostoyevsky
70;Gone With the Wind ;Margaret Mitchell
71;Lord of the Flies ;William Golding
72;Brave New World;Aldous Huxley
73;The Complete Tales and Poems of Edgar Allan Poe;Edgar Allan Poe
74;The Age of Innocence;Edith Wharton
75;Dead Souls;Nikolai Gogol
76;On the Road;Jack Kerouac
77;The Good Soldier;Ford Madox Ford
78;Animal Farm;George Orwell
79;Orlando: A Biography;Virginia Woolf
80;The Canterbury Tales;Geoffrey Chaucer
81;Vanity Fair;William Makepeace Thackeray
82;Under the Volcano ;Malcolm Lowry
83;The Waste Land;T. S. Eliot
84;A Farewell to Arms;Ernest Hemingway
85;Journey to the End of The Night;Louis-Ferdinand Céline
86;The Castle;Franz Kafka
87;A Sentimental Education;Gustave Flaubert
88;The Scarlet Letter;Nathaniel Hawthorne
89;Slaughterhouse-Five ;Kurt Vonnegut
90;The Handmaid's Tale;Margaret Atwood
91;Charlotte's Web;E. B. White
92;Native Son ;Richard Wright
93;The Charterhouse of Parma;Stendhal
94;Paradise Lost;John Milton
95;Gargantua and Pantagruel;Francois Rabelais
96;Poems of Emily Dickinson;Emily Dickinson
97;Faust;Johann Wolfgang von Goethe
98;Rebecca;Daphne du Maurier
99;The Flowers of Evil;Charles Baudelaire
100;Decameron;Giovanni Boccaccio
101;Tess of the d'Urbervilles;Thomas Hardy
102;Waiting for Godot;Samuel Beckett
103;Robinson Crusoe;Daniel Defoe
104;Their Eyes Were Watching God ;Zora Neale Hurston
105;Tom Jones;Henry Fielding
106;King Lear;William Shakespeare
107;A Clockwork Orange;Anthony Burgess
108;The Master and Margarita;Mikhail Bulgakov
109;Father Goriot;Honoré de Balzac
110;The Tin Drum;Günter Grass
111;Sons and Lovers;D. H. Lawrence
112;The Little Prince;Antoine de Saint-Exupéry
113;Fathers and Sons;Ivan Turgenev
114;Oresteia;Aeschylus
115;Wide Sargasso Sea;Jean Rhys
116;Bleak House;Charles Dickens
117;A Season in Hell;Arthur Rimbaud
118;Howards End;E. M. Forster
119;Little Women;Louisa May Alcott
120;Fairy Tales and Stories;Hans Christian Anderson
121;The Complete Stories of Flannery O'Connor;Flannery O'Connor
122;Rabbit, Run ;John Updike
123;Lord Jim;Joseph Conrad
124;A Confederacy of Dunces;John Kennedy Toole
125;Atonement;Ian McEwan
126;Cousin Bette;Honoré de Balzac
127;White Teeth ;Zadie Smith
128;The Tale of Genji;Murasaki Shikibu
129;The Golden Notebook;Doris Lessing
130;Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream;Hunter S. Thompson
131;Treasure Island;Robert Louis Stevenson
132;All the King's Men;Robert Penn Warren
133;The Man Without Qualities;Robert Musil
134;Doctor Faustus;Thomas Mann
135;The Count of Monte Cristo;Alexandre Dumas
136;Epic of Gilgamesh;Unknown
137;Stories of Ernest Hemingway;Ernest Hemingway
138;Nostromo;Joseph Conrad
139;The Big Sleep;Raymond Chandler
140;The Tempest;William Shakespeare
141;Dangerous Liaison;Pierre Choderlos de Laclos
142;All Quiet on the Western Front;Erich Maria Remarque
143;Love in the Time of Cholera;Gabriel Garcia Marquez
144;Buddenbrooks;Thomas Mann
145;My Antonia;Willa Cather
146;Blood Meridian;Cormac McCarthy
147;The Corrections;Jonathan Franzen
148;The Call of the Wild;Jack London
149;Tender Is the Night;F. Scott Fitzgerald
150;The Wind in the Willows;Kenneth Grahame
151;A Prayer for Owen Meany ;John Irving
152;One Flew Over the Cuckoo's Nest ;Ken Kesey
153;Rabbit Is Rich;John Updike
154;Metamorphoses;Ovid
155;Collected Poems of W. B. Yeats;W. B. Yeats
156;The Brief Wondrous Life of Oscar Wao;Junot Diaz
157;The Lion, The Witch and the Wardrobe ;C. S. Lewis
158;Oedipus at Colonus;Sophocles
159;The Moviegoer;Walker Percy
160;Medea;Euripides
161;Macbeth;William Shakespeare
162;Lost Illusions;Honoré de Balzac
163;Pedro Paramo;Juan Rulfo
164;The Prime of Miss Jean Brodie ;Muriel Spark
165;A Tree Grows in Brooklyn;Betty Smith
166;Doctor Zhivago;Boris Pasternak
167;The Ambassadors;Henry James
168;The Remains of the Day;Kazuo Ishiguro
169;Austerlitz ;W. G. Sebald
170;Confessions of Zeno;Italo Svevo
171;Dracula;Bram Stoker
172;Women in Love;D. H. Lawrence
173;Of Mice and Men;John Steinbeck
174;The Complete Sherlock Holmes;Arthur Conan Doyle
175;The Waves;Virginia Woolf
176;Rabbit Redux;John Updike
177;The Hound of the Baskervilles;Arthur Conan Doyle
178;The Leopard;Giuseppe Tomasi di Lampedusa
179;2666;Roberto Bolaño
180;Eugenie Grandet;Honoré de Balzac
181;A Room With a View;E. M. Forster
182;The Sea, The Sea;Iris Murdoch
183;Bonfire of the Vanities;Tom Wolfe
184;The House of the Spirits;Isabel Allende
185;Twenty Thousand Leagues Under the Sea;Jules Verne
186;The Princess of Cleves;Madame de La Fayette
187;The Wind-Up Bird Chronicle;Haruki Murakami
188;The Plague;Albert Camus
189;The Strange Case of Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson
190;The Pickwick Papers;Charles Dickens
191;The Stories of John Cheever;John Cheever
192;Fahrenheit 451;Ray Bradbury
193;The Hobbit;J. R. R. Tolkien
194;Jude the Obscure;Thomas Hardy
195;Nineteen Nineteen;John Dos Passos
196;The 42nd Parallel;John Dos Passos
197;The Big Money;John Dos Passos
198;Independent People;Halldor Laxness
199;The House of Mirth;Edith Wharton
200;The World According to Garp;John Irving
201;The Republic;Plato
202;The Stand;Stephen King
203;Clarissa;Samuel Richardson
204;The Good Soldier Svejk;Jaroslav Hašek
205;Electra;Sophocles
206;The Picture of Dorian Gray;Oscar Wilde
207;The Hitchhiker's Guide to the Galaxy;Douglas Adams
208;Collected Poems;Wallace Stevens
209;Harry Potter And The Philosopher's Stone;J. K Rowling
210;American Pastoral;Philip Roth
211;La Regenta;Clarín
212;Atlas Shrugged;Ayn Rand
213;Stranger in a Strange Land;Robert A. Heinlein
214;Winnie the Pooh;A. A Milne
215;Kim;Rudyard Kipling
216;A Doll's House;Henrik Ibsen
217;Rabbit at Rest;John Updike
218;Hunger;Knut Hamsun
219;Memoirs of Hadrian;Marguerite Yourcenar
220;Dune;Frank Herbert
221;Berlin Alexanderplatz;Alfred Döblin
222;The Three Musketeers;Alexandre Dumas
223;The Book of Disquiet;Fernando Pessoa
224;The Road;Cormac McCarthy
225;If on a Winter's Night a Traveller ;Italo Calvino
226;The Long Goodbye: A Novel;Raymond Chandler
227;De Rerum Natura;Lucretius
228;An American Tragedy;Theodore Dreiser
229;The Amazing Adventures of Kavalier and Clay;Michael Chabon
230;Lucky Jim ;Kingsley Amis
231;A Tale of Two Cities;Charles Dickens
232;Light in August ;William Faulkner
233;A Dance to the Music of Time;Anthony Powell
234;The Jungle;Upton Sinclair
235;Herzog ;Saul Bellow
236;The Poems of Robert Frost;Robert Frost
237;The Time Machine;H. G. Wells
238;Parade's End;Ford Madox Ford
239;Song of Solomon;Toni Morrison
240;Portnoy's Complaint ;Philip Roth
241;A House for Mr. Biswas ;V. S. Naipaul
242;Gravity's Rainbow ;Thomas Pynchon
243;Dubliners;James Joyce
244;Brighton Rock;Graham Greene
245;Middlesex;Jeffrey Eugenides
246;Steppenwolf;Hermann Hesse
247;Disgrace;J M Coetzee
248;Nine Stories;J. D. Salinger
249;Through the Looking Glass;Lewis Carroll
250;The End of the Affair;Graham Greene
251;Thus Spake Zarathustra;Friedrich Nietzsche
252;The Mill on the Floss;George Eliot
253;Ethan Frome;Edith Wharton
254;The Shipping News;E. Annie Proulx
255;Prometheus Bound;Aeschylus
256;The Unbearable Lightness of Being;Milan Kundera
257;Never Let Me Go ;Kazuo Ishiguro
258;2001: A Space Odyssey;Arthur C. Clarke
259;Henderson The Rain King;Saul Bellow
260;Persuasion;Jane Austen
261;The Bell Jar;Sylvia Plath
262;The Heart Is A Lonely Hunter;Carson McCullers
263;White Noise ;Don DeLillo
264;Molloy;Samuel Beckett
265;The Fountainhead;Ayn Rand
266;Siddhartha;Hermann Hesse
267;Season of Migration to the North;Al-Tayyib Salih
268;The Sense of an Ending;Julian Barnes
269;The Line of Beauty;Alan Hollinghurst
270;I, Claudius ;Robert Graves
271;The Suppliants;Aeschylus
272;The Persians;Aeschylus
273;Seven Against Thebes;Aeschylus
274;Brideshead Revisited;Evelyn Waugh
275;Of Human Bondage ;W. Somerset Maugham
276;Malone Dies;Samuel Beckett
277;The Adventures of Augie March;Saul Bellow
278;Cloud Atlas;David Mitchell
279;The Man Who Loved Children ;Christina Stead
280;Cry, the Beloved Country;Alan Paton
281;Pippi Longstocking;Astrid Lindgren
282;Wolf Hall;Hilary Mantel
283;Selected Stories of Alice Munro;Alice Munro
284;The Maltese Falcon;Dashiell Hammett
285;Complete Poems of Giacomo Leopardi;Giacomo Leopardi
286;Moll Flanders;Daniel Defoe
287;Philoctetes;Sophocles
288;Ajax;Sophocles
289;Women of Trachis;Sophocles
290;The Killer Angels;Michael Shaara
291;Possession ;A. S. Byatt
292;The Red Badge of Courage;Stephen Crane
293;The Poisonwood Bible;Barbara Kingsolver
294;Tarzan of the Apes;Edgar Rice Burroughs
295;Death of Virgil;Hermann Broch
296;The Counterfeiters;André Gide
297;Lady Chatterley's Lover;D. H. Lawrence
298;Gilead;Marilynne Robinson
299;Jacques the Fatalist and His Master;Denis Diderot
300;Zorba the Greek;Nikos Kazantzakis
