Rank;Actual gross;Adjusted gross (in 2022 dollar);Artist;Tour title;Year(s);Shows;Averagegross
1;$558,255,524;$787,883,017;The Rolling Stones;A Bigger Bang Tour;2005–2007;144;$3,876,774
2;$411,000,000;$560,622,615;Madonna;Sticky & Sweet Tour;2008–2009;85;$4,835,294
3;$389,000,000;$564,685,705;U2;Vertigo Tour;2005–2006;131;$2,969,466
4;$358,825,665;$487,714,513;The Police;The Police Reunion Tour;2007–2008;146;$2,457,710
5;$311,637,730;$425,087,979;U2;U2 360° Tour;2009 *;44;$7,082,676
6;$311,000,000;$494,742,041;The Rolling Stones;Licks Tour;2002–2003;117;$2,658,120
7;$279,200,000;$379,204,591;Celine Dion;Taking Chances World Tour;2008–2009;129;$2,164,341
8;$264,100,000;$360,244,362;AC/DC;Black Ice World Tour;2008–2009 *;127;$2,079,528
9;$250,000,000;$374,595,331;Cher;Living Proof: The Farewell Tour;2002–2005;325;$769,231
10;$235,000,000;$319,411,128;Bruce Springsteen and the E Street Band;Magic Tour;2007–2008;104;$2,259,615
