Rank;Actual gross;Adjusted gross (in 2022 dollar);Artist;Tour title;Year(s);Shows;Averagegross
1;$780,000,000;$780,000,000;Taylor Swift;The Eras Tour †;2023;56;$13,928,571
2;$617,800,000;$617,800,000;Coldplay;Music of the Spheres World Tour †;2022–2023;107;$5,773,832
3;$617,300,000;$617,300,000;Harry Styles;Love On Tour;2021–2023;169;$3,652,663
4;$579,800,000;$579,800,000;Beyoncé;Renaissance World Tour;2023;56;$10,353,571
5;$471,400,000;$471,400,000;Elton John;Farewell Yellow Brick Road;2020–2022 *;136;$3,466,176
6;$417,661,372;$417,661,372;Ed Sheeran;+–=÷× Tour †;2022–2023;77;$5,424,174
7;$314,100,000;$314,100,000;Bad Bunny;World's Hottest Tour;2022;43;$7,304,651
8;$289,000,000;$289,000,000;The Weeknd;After Hours til Dawn Tour †;2022–2023;49;$5,897,959
9;$257,600,000;$257,600,000;Pink;Summer Carnival †;2023;41;$6,282,927
10;$237,400,000;$237,400,000;Red Hot Chili Peppers;Global Stadium Tour †;2022–2023;42;$5,652,381
