Rank;Peak;Actual gross;Adjusted gross (in 2022 dollars);Artist;Tour title;Year(s);Shows;Averagegross
1;1;$939,100,000;$939,100,000;Elton John;Farewell Yellow Brick Road;2018–2023;330;$2,845,758
2;2;$780,000,000;$780,000,000;Taylor Swift;The Eras Tour †;2023;56;$13,928,571
3;1;$776,200,000;$888,442,379;Ed Sheeran;÷ Tour;2017–2019;255;$3,043,922
4;1;$736,421,586;$958,001,690;U2;U2 360° Tour;2009–2011;110;$6,694,742
5;4;$617,800,000;$617,800,000;Coldplay;Music of the Spheres World Tour †;2022–2023;107;$5,773,832
6;4;$617,300,000;$617,800,000;Harry Styles;Love On Tour;2021–2023;169;$3,652,663
7;3;$584,200,000;$668,678,225;Guns N' Roses;Not in This Lifetime... Tour;2016–2019;158;$3,697,468
8;7;$579,800,000;$579,800,000;Beyoncé;Renaissance World Tour;2023;56;$10,353,571
9;1;$558,255,524;$787,883,017;The Rolling Stones;A Bigger Bang Tour;2005–2007;144;$3,876,774
10;5;$546,500,000;$590,190,470;The Rolling Stones;No Filter Tour;2017–2021;58;$9,422,414
11;3;$523,033,675;$624,430,917;Coldplay;A Head Full of Dreams Tour;2016–2017;114;$4,588,015
12;3;$459,000,000;$576,635,143;Roger Waters;The Wall;2010–2013;219;$2,094,401
13;3;$441,900,000;$593,021,303;AC/DC;Black Ice World Tour;2008–2010;165;$2,678,182
14;8;$430,000,000;$492,180,138;Metallica;WorldWired Tour;2016–2019;143;$3,006,993
15;13;$417,661,372;$417,661,372;Ed Sheeran;+–=÷× Tour †;2022–2023;77;$5,424,174
16;2;$411,000,000;$560,622,615;Madonna;Sticky & Sweet Tour;2008–2009;85;$4,835,294
17;10;$397,300,000;$454,751,555;Pink;Beautiful Trauma World Tour;2018–2019;156;$2,546,795
18;12;$390,778,581;$466,536,362;U2;The Joshua Tree Tours 2017 and 2019;2017, 2019;66;$5,920,888
19;2;$389,000,000;$564,685,705;U2;Vertigo Tour;2005–2006;131;$2,969,466
20;10;$367,700,000;$428,512,298;Bruno Mars;24K Magic World Tour;2017–2018;196;$1,876,020
