country;property_name;property_category;country_link;property_link
Afghanistan;Minaret and Archaeological Remains of Jam;cultural_danger;https://whc.unesco.org/en/statesparties/af;https://whc.unesco.org/en/list/211
Afghanistan;Cultural Landscape and Archaeological Remains of the Bamiyan Valley;cultural_danger;https://whc.unesco.org/en/statesparties/af;https://whc.unesco.org/en/list/208
Albania;Natural and Cultural Heritage of the Ohrid region;mixed;https://whc.unesco.org/en/statesparties/al;https://whc.unesco.org/en/list/99
Albania;Butrint;cultural;https://whc.unesco.org/en/statesparties/al;https://whc.unesco.org/en/list/570
Albania;Historic Centres of Berat and Gjirokastra ;cultural;https://whc.unesco.org/en/statesparties/al;https://whc.unesco.org/en/list/569
Albania;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;natural;https://whc.unesco.org/en/statesparties/al;https://whc.unesco.org/en/list/1133
Algeria;Al Qal'a of Beni Hammad;cultural;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/102
Algeria;Djémila;cultural;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/191
Algeria;M'Zab Valley;cultural;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/188
Algeria;Tassili n'Ajjer;mixed;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/179
Algeria;Timgad;cultural;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/194
Algeria;Tipasa;cultural;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/193
Algeria;Kasbah of Algiers;cultural;https://whc.unesco.org/en/statesparties/dz;https://whc.unesco.org/en/list/565
Andorra;Madriu-Perafita-Claror Valley;cultural;https://whc.unesco.org/en/statesparties/ad;https://whc.unesco.org/en/list/1160
Angola;Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo;cultural;https://whc.unesco.org/en/statesparties/ao;https://whc.unesco.org/en/list/1511
Antigua and Barbuda;Antigua Naval Dockyard and Related Archaeological Sites;cultural;https://whc.unesco.org/en/statesparties/ag;https://whc.unesco.org/en/list/1499
Argentina;Los Glaciares National Park;natural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/145
Argentina;Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil);cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/275
Argentina;Iguazu National Park;natural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/303
Argentina;Cueva de las Manos, Río Pinturas;cultural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/936
Argentina;Península Valdés;natural;https://whc.unesco.org/en/statesparties/ar;https://whc.unesco.org/en/list/937
