published_date;list_id;age_group;amazon_product_url;article_chapter_link;author;book_image;book_image_width;book_image_height;book_review_link;book_uri;contributor;contributor_note;created_date;description;first_chapter_link;price;primary_isbn10;primary_isbn13;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
2021-10-24;1;;https://www.amazon.com/dp/0735222355?tag=NYTBSREV-20;;Amor Towles;https://storage.googleapis.com/du-prd/books/images/9780735222359.jpg;331;500;;nyt://book/43839b1f-c8cc-5ef4-8893-bd85582906a4;by Amor Towles;;2021-10-13 22:12:20;Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.;;0.00;0735222355;9780735222359;Viking;1;0;;THE LINCOLN HIGHWAY;2021-10-15 20:12:54;1
2021-10-24;1;;https://www.amazon.com/dp/1538728621?tag=NYTBSREV-20;;Nicholas Sparks;https://storage.googleapis.com/du-prd/books/images/9781538728628.jpg;330;500;;nyt://book/28cad580-eb4e-512f-a790-9fd5eddd45d4;by Nicholas Sparks;;2021-10-13 22:12:20;Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas.;;0.00;1538728621;9781538728628;Grand Central;2;1;;THE WISH;2021-10-15 20:12:54;2
2021-10-24;1;;https://www.amazon.com/dp/1982168439?tag=NYTBSREV-20;;Anthony Doerr;https://storage.googleapis.com/du-prd/books/images/9781982168438.jpg;331;500;;nyt://book/d7de00f6-afc5-58c4-b106-0dcb33c8eed9;by Anthony Doerr;;2021-10-13 22:12:20;An interconnected cast of dreamers and outsiders are in dangerous and disparate settings past, present and future.;;0.00;1982168439;9781982168438;Scribner;3;2;;CLOUD CUCKOO LAND;2021-10-15 20:12:55;2
2021-10-24;1;;https://www.amazon.com/dp/0374181179?tag=NYTBSREV-20;;Jonathan Franzen;https://storage.googleapis.com/du-prd/books/images/9780374181178.jpg;333;500;;nyt://book/a8a06aec-3cbc-5104-a35b-161fd68075f7;by Jonathan Franzen;;2021-10-13 22:12:20;Members of a Midwestern family find themselves at a pivotal moment of moral crisis in 1971.;;0.00;0374181179;9780374181178;Farrar, Straus & Giroux;4;0;;CROSSROADS;2021-10-15 20:12:55;1
2021-10-24;1;;https://www.amazon.com/dp/1250220254?tag=NYTBSREV-20;;Liane Moriarty;https://storage.googleapis.com/du-prd/books/images/9781250220257.jpg;329;500;;nyt://book/49a3b4e2-4c03-5363-be9f-b3f5e80ddc6a;by Liane Moriarty;;2021-10-13 22:12:20;The Delaney siblings suspect their father of causing the disappearance of their mother.;;0.00;1250220254;9781250220257;Holt;5;3;;APPLES NEVER FALL;2021-10-15 20:12:55;4
2021-10-24;1;;https://www.amazon.com/dp/0385545134?tag=NYTBSREV-20;;Colson Whitehead;https://storage.googleapis.com/du-prd/books/images/9780385545136.jpg;329;500;;nyt://book/429ead69-c906-5e12-8372-4af272f75460;by Colson Whitehead;;2021-10-13 22:12:20;Ray Carney, a family man who sells furniture on 125th Street, gets a new clientele made up of vicious and unsavory characters.;;0.00;0385545134;9780385545136;Doubleday;6;4;;HARLEM SHUFFLE;2021-10-15 20:12:55;4
2021-10-24;1;;https://www.amazon.com/dp/1984821520?tag=NYTBSREV-20;;Danielle Steel;https://storage.googleapis.com/du-prd/books/images/9781984821522.jpg;328;500;;nyt://book/c4337533-9195-5d2f-8dd8-02c874ff89cd;by Danielle Steel;;2021-10-13 22:12:21;The working relationship between a man and woman from different worlds develops into something new for them.;;0.00;1984821520;9781984821522;Delacorte;7;0;;THE BUTLER;2021-10-15 20:12:55;1
2021-10-24;1;;https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20;;Laura Dave;https://storage.googleapis.com/du-prd/books/images/9781501171345.jpg;331;500;;nyt://book/b38ae769-e873-5272-bb5a-c58a35162db1;by Laura Dave;;2021-10-13 22:12:21;Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.;;0.00;1501171348;9781501171345;Simon & Schuster;8;11;;THE LAST THING HE TOLD ME;2021-10-15 20:12:55;23
2021-10-24;1;;https://www.amazon.com/dp/1982173610?tag=NYTBSREV-20;;Stephen King;https://storage.googleapis.com/du-prd/books/images/9781982173616.jpg;327;500;;nyt://book/718759e4-3da8-561f-bd45-c0b5e1769e06;by Stephen King;;2021-10-13 22:12:21;A killer for hire who only takes out bad guys seeks redemption as he does one final job.;;0.00;1982173610;9781982173616;Scribner;9;9;;BILLY SUMMERS;2021-10-15 20:12:55;10
2021-10-24;1;;https://www.amazon.com/dp/0316276626?tag=NYTBSREV-20;;James Patterson and Nancy Allen;https://storage.googleapis.com/du-prd/books/images/9780316276627.jpg;322;500;;nyt://book/5371f6aa-bbba-5d1e-a04e-bcb044f628a4;by James Patterson and Nancy Allen;;2021-10-13 22:12:21;A young lawyer winds up in an Alabama jail that remains mysteriously crowded.;;0.00;0316276626;9780316276627;Little, Brown;10;6;;THE JAILHOUSE LAWYER;2021-10-15 20:12:55;3
