book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/00393e0c-cdde-54dd-a975-5cadd2f994d1;https://www.amazon.com/dp/1984818546?tag=NYTBSREV-20;https://goto.applebooks.apple/9781984818546?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984818546;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNO%2BPLAN%2BB%2FLee%2BChild%2Band%2BAndrew%2BChild%2F9781984818546;https://bookshop.org/a/3546/9781984818546;https://www.indiebound.org/book/9781984818546?aff=NYT
nyt://book/00792a12-b389-521a-a64b-226a3bbb1d35;https://www.amazon.com/dp/1250861500?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250861504?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250861504;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FSTARRY%2BMESSENGER%2FNeil%2BdeGrasse%2BTyson%2F9781250861504;https://bookshop.org/a/3546/9781250861504;https://www.indiebound.org/book/9781250861504?aff=NYT
nyt://book/00df1009-e6a5-5bd9-b180-351a709b35d4;https://www.amazon.com/dp/0593138090?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593138090?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593138090;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BPALACE%2BPAPERS%2FTina%2BBrown%2F9780593138090;https://bookshop.org/a/3546/9780593138090;https://www.indiebound.org/book/9780593138090?aff=NYT
nyt://book/01e1f41d-81b0-5b38-95bc-d8a6b5432a2c;https://www.amazon.com/White-Royal-Blue-Casey-McQuiston/dp/1250316774?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250856036?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250856036;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FRED%252C%2BWHITE%2BAND%2BROYAL%2BBLUE%2FCasey%2BMcQuiston%2F9781250856036;https://bookshop.org/a/3546/9781250856036;https://www.indiebound.org/book/9781250856036?aff=NYT
nyt://book/028a6ba9-ea56-5cd1-89e6-14c332a3301a;https://www.amazon.com/dp/0765391198?tag=NYTBSREV-20;https://goto.applebooks.apple/9780765391193?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780765391193;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BLOST%2BMETAL%2FBrandon%2BSanderson%2F9780765391193;https://bookshop.org/a/3546/9780765391193;https://www.indiebound.org/book/9780765391193?aff=NYT
nyt://book/036735f5-f655-5fcb-bddc-4a7648bfeaf6;https://www.amazon.com/dp/059319148X?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593191484?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593191484;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFROM%2BSTRENGTH%2BTO%2BSTRENGTH%2FArthur%2BC.%2BBrooks%2F9780593191484;https://bookshop.org/a/3546/9780593191484;https://www.indiebound.org/book/9780593191484?aff=NYT
nyt://book/0483188a-ed61-513a-b377-e2e409f8873d;https://www.amazon.com/dp/0762499508?tag=NYTBSREV-20;https://goto.applebooks.apple/9780762499502?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780762499502;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBEST%2BWISHES%252C%2BWARMEST%2BREGARDS%2FDaniel%2BLevy%2Band%2BEugene%2BLevy%2F9780762499502;https://bookshop.org/a/3546/9780762499502;https://www.indiebound.org/book/9780762499502?aff=NYT
nyt://book/04988f91-5b03-5eb4-ae17-89fda0e7051a;https://www.amazon.com/dp/1250866448?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250866448?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250866448;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFRIENDS%252C%2BLOVERS%252C%2BAND%2BTHE%2BBIG%2BTERRIBLE%2BTHING%2FMatthew%2BPerry%2F9781250866448;https://bookshop.org/a/3546/9781250866448;https://www.indiebound.org/book/9781250866448?aff=NYT
nyt://book/04ee1ebc-dc05-503c-97f7-fea4e2b3f0e8;https://www.amazon.com/dp/0765387565?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250835994?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250835994;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BINVISIBLE%2BLIFE%2BOF%2BADDIE%2BLARUE%2FV.E.%2BSchwab%2F9781250835994;https://bookshop.org/a/3546/9781250835994;https://www.indiebound.org/book/9781250835994?aff=NYT
nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0;https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20;https://goto.applebooks.apple/9780735219090?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780735219090;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWHERE%2BTHE%2BCRAWDADS%2BSING%2FDelia%2BOwens%2F9780735219090;https://bookshop.org/a/3546/9780735219090;https://www.indiebound.org/book/9780735219090?aff=NYT
