position;title;author
1;Marcel Proust;In Search of Lost Time 
2;James Joyce;Ulysses
3;Miguel de Cervantes;Don Quixote
4;Gabriel Garcia Marquez;One Hundred Years of Solitude 
5;F. Scott Fitzgerald;The Great Gatsby 
6;Herman Melville;Moby Dick
7;Leo Tolstoy;War and Peace
8;William Shakespeare;Hamlet
9;Homer;The Odyssey
10;Gustave Flaubert;Madame Bovary
11;Dante Alighieri;The Divine Comedy 
12;Vladimir Nabokov;Lolita 
13;Fyodor Dostoyevsky;The Brothers Karamazov 
14;Fyodor Dostoyevsky;Crime and Punishment 
15;Emily Brontë;Wuthering Heights
16;J. D. Salinger;The Catcher in the Rye
17;Jane Austen;Pride and Prejudice
18;Mark Twain;The Adventures of Huckleberry Finn
19;Leo Tolstoy;Anna Karenina
20;Lewis Carroll;Alice's Adventures in Wonderland 
21;Homer;The Iliad
22;Virginia Woolf;To the Lighthouse 
23;Joseph Heller;Catch-22 
24;Joseph Conrad;Heart of Darkness
25;William Faulkner;The Sound and the Fury
26;George Orwell;Nineteen Eighty Four
27;Charles Dickens;Great Expectations
28;India/Iran/Iraq/Egypt;One Thousand and One Nights
29;John Steinbeck;The Grapes of Wrath 
30;William Faulkner;Absalom, Absalom!
31;Ralph Ellison;Invisible Man 
32;Harper Lee;To Kill a Mockingbird 
33;Franz Kafka;The Trial
34;Stendhal;The Red and the Black
35;George Eliot;Middlemarch
36;Jonathan Swift;Gulliver's Travels
37;Toni Morrison;Beloved
38;Virginia Woolf;Mrs. Dalloway 
39;Anton Chekhov;The Stories of Anton Chekhov
40;Albert Camus;The Stranger 
41;Charlotte Bronte;Jane Eyre
42;Virgil;The Aeneid
43;Jorge Luis Borges;Collected Fiction
44;Ernest Hemingway;The Sun Also Rises 
45;Charles Dickens;David Copperfield
46;Laurence Sterne;Tristram Shandy
47;Walt Whitman;Leaves of Grass
48;Thomas Mann;The Magic Mountain
49;James Joyce;A Portrait of the Artist as a Young Man 
50;Salman Rushdie;Midnight's Children 
51;Sophocles;Oedipus the King
52;Voltaire;Candide
53;J. R. R. Tolkien;The Lord of the Rings
54;Fyodor Dostoyevsky;The Idiot
55;Victor Hugo;Les Misérables
56;E. M. Forster;A Passage to India 
57;Ernest Hemingway;The Old Man and the Sea
58;Chinua Achebe;Things Fall Apart 
59;Jane Austen;Emma
60;Ernest Hemingway;For Whom the Bell Tolls
61;Franz Kafka;The Complete Stories of Franz Kafka
62;Franz Kafka;The Metamorphosis
63;Henry James;The Portrait of a Lady 
64;Mary Shelley;Frankenstein 
65;Vladimir Nabokov;Pale Fire 
66;Sophocles;Antigone
67;William Faulkner;As I Lay Dying
68;Alice Walker;The Color Purple
69;Fyodor Dostoyevsky;The Possessed
70;Margaret Mitchell;Gone With the Wind 
71;William Golding;Lord of the Flies 
72;Aldous Huxley;Brave New World
73;Edgar Allan Poe;The Complete Tales and Poems of Edgar Allan Poe
74;Edith Wharton;The Age of Innocence
75;Nikolai Gogol;Dead Souls
76;Jack Kerouac;On the Road
77;Ford Madox Ford;The Good Soldier
78;George Orwell;Animal Farm
79;Virginia Woolf;Orlando: A Biography
80;Geoffrey Chaucer;The Canterbury Tales
81;William Makepeace Thackeray;Vanity Fair
82;Malcolm Lowry;Under the Volcano 
83;T. S. Eliot;The Waste Land
84;Ernest Hemingway;A Farewell to Arms
85;Louis-Ferdinand Céline;Journey to the End of The Night
86;Franz Kafka;The Castle
87;Gustave Flaubert;A Sentimental Education
88;Nathaniel Hawthorne;The Scarlet Letter
89;Kurt Vonnegut;Slaughterhouse-Five 
90;Margaret Atwood;The Handmaid's Tale
91;E. B. White;Charlotte's Web
92;Richard Wright;Native Son 
93;Stendhal;The Charterhouse of Parma
94;John Milton;Paradise Lost
95;Francois Rabelais;Gargantua and Pantagruel
96;Emily Dickinson;Poems of Emily Dickinson
97;Johann Wolfgang von Goethe;Faust
98;Daphne du Maurier;Rebecca
99;Charles Baudelaire;The Flowers of Evil
100;Giovanni Boccaccio;Decameron
101;Thomas Hardy;Tess of the d'Urbervilles
102;Samuel Beckett;Waiting for Godot
103;Daniel Defoe;Robinson Crusoe
104;Zora Neale Hurston;Their Eyes Were Watching God 
105;Henry Fielding;Tom Jones
106;William Shakespeare;King Lear
107;Anthony Burgess;A Clockwork Orange
108;Mikhail Bulgakov;The Master and Margarita
109;Honoré de Balzac;Father Goriot
110;Günter Grass;The Tin Drum
111;D. H. Lawrence;Sons and Lovers
112;Antoine de Saint-Exupéry;The Little Prince
113;Ivan Turgenev;Fathers and Sons
114;Aeschylus;Oresteia
115;Jean Rhys;Wide Sargasso Sea
116;Charles Dickens;Bleak House
117;Arthur Rimbaud;A Season in Hell
118;E. M. Forster;Howards End
119;Louisa May Alcott;Little Women
120;Hans Christian Anderson;Fairy Tales and Stories
121;Flannery O'Connor;The Complete Stories of Flannery O'Connor
122;John Updike;Rabbit, Run 
123;Joseph Conrad;Lord Jim
124;John Kennedy Toole;A Confederacy of Dunces
125;Ian McEwan;Atonement
126;Honoré de Balzac;Cousin Bette
127;Zadie Smith;White Teeth 
128;Murasaki Shikibu;The Tale of Genji
129;Doris Lessing;The Golden Notebook
130;Hunter S. Thompson;Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
131;Robert Louis Stevenson;Treasure Island
132;Robert Penn Warren;All the King's Men
133;Robert Musil;The Man Without Qualities
134;Thomas Mann;Doctor Faustus
135;Alexandre Dumas;The Count of Monte Cristo
136;Unknown;Epic of Gilgamesh
137;Ernest Hemingway;Stories of Ernest Hemingway
138;Joseph Conrad;Nostromo
139;Raymond Chandler;The Big Sleep
140;William Shakespeare;The Tempest
141;Pierre Choderlos de Laclos;Dangerous Liaison
142;Erich Maria Remarque;All Quiet on the Western Front
143;Gabriel Garcia Marquez;Love in the Time of Cholera
144;Thomas Mann;Buddenbrooks
145;Willa Cather;My Antonia
146;Cormac McCarthy;Blood Meridian
147;Jonathan Franzen;The Corrections
148;Jack London;The Call of the Wild
149;F. Scott Fitzgerald;Tender Is the Night
150;Kenneth Grahame;The Wind in the Willows
151;John Irving;A Prayer for Owen Meany 
152;Ken Kesey;One Flew Over the Cuckoo's Nest 
153;John Updike;Rabbit Is Rich
154;Ovid;Metamorphoses
155;W. B. Yeats;Collected Poems of W. B. Yeats
156;Junot Diaz;The Brief Wondrous Life of Oscar Wao
157;C. S. Lewis;The Lion, The Witch and the Wardrobe 
158;Sophocles;Oedipus at Colonus
159;Walker Percy;The Moviegoer
160;Euripides;Medea
161;William Shakespeare;Macbeth
162;Honoré de Balzac;Lost Illusions
163;Juan Rulfo;Pedro Paramo
164;Muriel Spark;The Prime of Miss Jean Brodie 
165;Betty Smith;A Tree Grows in Brooklyn
166;Boris Pasternak;Doctor Zhivago
167;Henry James;The Ambassadors
168;Kazuo Ishiguro;The Remains of the Day
169;W. G. Sebald;Austerlitz 
170;Italo Svevo;Confessions of Zeno
171;Bram Stoker;Dracula
172;D. H. Lawrence;Women in Love
173;John Steinbeck;Of Mice and Men
174;Arthur Conan Doyle;The Complete Sherlock Holmes
175;Virginia Woolf;The Waves
176;John Updike;Rabbit Redux
177;Arthur Conan Doyle;The Hound of the Baskervilles
178;Giuseppe Tomasi di Lampedusa;The Leopard
179;Roberto Bolaño;2666
180;Honoré de Balzac;Eugenie Grandet
181;E. M. Forster;A Room With a View
182;Iris Murdoch;The Sea, The Sea
183;Tom Wolfe;Bonfire of the Vanities
184;Isabel Allende;The House of the Spirits
185;Jules Verne;Twenty Thousand Leagues Under the Sea
186;Madame de La Fayette;The Princess of Cleves
187;Haruki Murakami;The Wind-Up Bird Chronicle
188;Albert Camus;The Plague
189;Robert Louis Stevenson;The Strange Case of Dr. Jekyll and Mr. Hyde
190;Charles Dickens;The Pickwick Papers
191;John Cheever;The Stories of John Cheever
192;Ray Bradbury;Fahrenheit 451
193;J. R. R. Tolkien;The Hobbit
194;Thomas Hardy;Jude the Obscure
195;John Dos Passos;Nineteen Nineteen
196;John Dos Passos;The 42nd Parallel
197;John Dos Passos;The Big Money
198;Halldor Laxness;Independent People
199;Edith Wharton;The House of Mirth
200;John Irving;The World According to Garp
201;Plato;The Republic
202;Stephen King;The Stand
203;Samuel Richardson;Clarissa
204;Jaroslav Hašek;The Good Soldier Svejk
205;Sophocles;Electra
206;Oscar Wilde;The Picture of Dorian Gray
207;Douglas Adams;The Hitchhiker's Guide to the Galaxy
208;Wallace Stevens;Collected Poems
209;J. K Rowling;Harry Potter And The Philosopher's Stone
210;Philip Roth;American Pastoral
211;Clarín;La Regenta
212;Ayn Rand;Atlas Shrugged
213;Robert A. Heinlein;Stranger in a Strange Land
214;A. A Milne;Winnie the Pooh
215;Rudyard Kipling;Kim
216;Henrik Ibsen;A Doll's House
217;John Updike;Rabbit at Rest
218;Knut Hamsun;Hunger
219;Marguerite Yourcenar;Memoirs of Hadrian
220;Frank Herbert;Dune
221;Alfred Döblin;Berlin Alexanderplatz
222;Alexandre Dumas;The Three Musketeers
223;Fernando Pessoa;The Book of Disquiet
224;Cormac McCarthy;The Road
225;Italo Calvino;If on a Winter's Night a Traveller 
226;Raymond Chandler;The Long Goodbye: A Novel
227;Lucretius;De Rerum Natura
228;Theodore Dreiser;An American Tragedy
229;Michael Chabon;The Amazing Adventures of Kavalier and Clay
230;Kingsley Amis;Lucky Jim 
231;Charles Dickens;A Tale of Two Cities
232;William Faulkner;Light in August 
233;Anthony Powell;A Dance to the Music of Time
234;Upton Sinclair;The Jungle
235;Saul Bellow;Herzog 
236;Robert Frost;The Poems of Robert Frost
237;H. G. Wells;The Time Machine
238;Ford Madox Ford;Parade's End
239;Toni Morrison;Song of Solomon
240;Philip Roth;Portnoy's Complaint 
241;V. S. Naipaul;A House for Mr. Biswas 
242;Thomas Pynchon;Gravity's Rainbow 
243;James Joyce;Dubliners
244;Graham Greene;Brighton Rock
245;Jeffrey Eugenides;Middlesex
246;Hermann Hesse;Steppenwolf
247;J M Coetzee;Disgrace
248;J. D. Salinger;Nine Stories
249;Lewis Carroll;Through the Looking Glass
250;Graham Greene;The End of the Affair
251;Friedrich Nietzsche;Thus Spake Zarathustra
252;George Eliot;The Mill on the Floss
253;Edith Wharton;Ethan Frome
254;E. Annie Proulx;The Shipping News
255;Aeschylus;Prometheus Bound
256;Milan Kundera;The Unbearable Lightness of Being
257;Kazuo Ishiguro;Never Let Me Go 
258;Arthur C. Clarke;2001: A Space Odyssey
259;Saul Bellow;Henderson The Rain King
260;Jane Austen;Persuasion
261;Sylvia Plath;The Bell Jar
262;Carson McCullers;The Heart Is A Lonely Hunter
263;Don DeLillo;White Noise 
264;Samuel Beckett;Molloy
265;Ayn Rand;The Fountainhead
266;Hermann Hesse;Siddhartha
267;Al-Tayyib Salih;Season of Migration to the North
268;Julian Barnes;The Sense of an Ending
269;Alan Hollinghurst;The Line of Beauty
270;Robert Graves;I, Claudius 
271;Aeschylus;The Suppliants
272;Aeschylus;The Persians
273;Aeschylus;Seven Against Thebes
274;Evelyn Waugh;Brideshead Revisited
275;W. Somerset Maugham;Of Human Bondage 
276;Samuel Beckett;Malone Dies
277;Saul Bellow;The Adventures of Augie March
278;David Mitchell;Cloud Atlas
279;Christina Stead;The Man Who Loved Children 
280;Alan Paton;Cry, the Beloved Country
281;Astrid Lindgren;Pippi Longstocking
282;Hilary Mantel;Wolf Hall
283;Alice Munro;Selected Stories of Alice Munro
284;Dashiell Hammett;The Maltese Falcon
285;Giacomo Leopardi;Complete Poems of Giacomo Leopardi
286;Daniel Defoe;Moll Flanders
287;Sophocles;Philoctetes
288;Sophocles;Ajax
289;Sophocles;Women of Trachis
290;Michael Shaara;The Killer Angels
291;A. S. Byatt;Possession 
292;Stephen Crane;The Red Badge of Courage
293;Barbara Kingsolver;The Poisonwood Bible
294;Edgar Rice Burroughs;Tarzan of the Apes
295;Hermann Broch;Death of Virgil
296;André Gide;The Counterfeiters
297;D. H. Lawrence;Lady Chatterley's Lover
298;Marilynne Robinson;Gilead
299;Denis Diderot;Jacques the Fatalist and His Master
300;Nikos Kazantzakis;Zorba the Greek
